=====================================================================================
                               STUDENTS RANKED BY CGPA
=====================================================================================

 Rank |       ID | Name                      |  Dept | Sem |   CGPA |  Credits |  Year
-------------------------------------------------------------------------------------
    1 |   200044 | Mariam Usmani             |   CIV |   6 |   3.99 |      112 |  2015
    2 |   200140 | Hafsa Ansari              |   CIV |   6 |   3.98 |      106 |  2016
    3 |   200035 | Nayab Qureshi             |   EEE |   4 |   3.98 |       73 |  2022
    4 |   200065 | Talha Hussain             |   ECO |   6 |   3.97 |      110 |  2015
    5 |   200099 | Rizwan Khan               |   PHY |   8 |   3.96 |      150 |  2018
    6 |   200125 | Rani Ismail               |   EEE |   1 |   3.96 |       25 |  2023
    7 |   200078 | Hiba Younas               |   CIV |   5 |   3.95 |       98 |  2018
    8 |   200019 | Nadeem Gillani            |   MAT |   3 |   3.95 |       57 |  2022
    9 |   200010 | Naila Rana                |   CIV |   1 |   3.95 |       15 |  2021
   10 |   200134 | Ali Jamil                 |   MEC |   7 |   3.90 |      124 |  2017
   11 |   200042 | Fahad Leghari             |   CIV |   4 |   3.89 |       64 |  2020
   12 |   200067 | Bushra Usman              |   BBA |   6 |   3.88 |      107 |  2017
   13 |   200184 | Sidra Pirzada             |   PHY |   2 |   3.88 |       31 |  2023
   14 |   200131 | Ghulam Iqbal              |   PHY |   8 |   3.87 |      140 |  2018
   15 |   200142 | Furqan Aslam              |   ECO |   5 |   3.87 |       80 |  2016
   16 |   200114 | Esha Haq                  |   ECO |   2 |   3.87 |       28 |  2015
   17 |   200104 | Muhammad Majeed           |   CIV |   4 |   3.86 |       81 |  2019
   18 |   200105 | Maryam Akhtar             |   MAT |   1 |   3.86 |       19 |  2023
   19 |   200138 | Fariha Zaheer             |   CSE |   6 |   3.84 |       99 |  2015
   20 |   200058 | Bashir Anwar              |   CHE |   5 |   3.84 |       80 |  2017
   21 |   200189 | Khadija Ahmed             |   PHY |   8 |   3.83 |      138 |  2017
   22 |   200144 | Tanvir Usman              |   MEC |   6 |   3.83 |      115 |  2016
   23 |   200164 | Sehar Tahir               |   ECO |   6 |   3.83 |      102 |  2015
